TCACAA;cice
R460SHA;105590,2859
R460SOU;2183,800399
R465000;5,429670574
R465207;2774,059268
R465254;9,115583548
R465467;2185,191213
R465AVQ;1966,30811
R465SHA;1713,729707
R469000;188145,5369
R469207;19663,76295
R469210;9591,966379
R469254;4295,328127
R469467;7067,42133
R469468;22332,82936
R469469;13341,18298
R4697S1;174,1578852
R469899;762,2963317
R469999;2446,07721
R469RC1;273653,6603
R469RC3;208776,7378
R469RC4;585853,2903
R469RCS;57007,15706
R469RCT;23801,73431
R469RK1;73053,85702
R469RK2;45177,15364
R479;348,7868623
R479000;681490,3254
R479207;315723,1422
R479210;5094,487717
R479254;26753,47715
R479467;1647,023195
R479469;220964,2912
R479531;2991,614736
R479775;6078,460659
R4797S1;209,7185983
R479868;8805,578951
R479999;17757,40852
R479R20;21134,80388
R479RC1;611513,1831
R479RC2;3695559,995
R479RC3;1961726,292
R479RC4;111984,287
R479RCT;2561,628989
R479RK1;181636,5601
R484;73,64505679
R484000;1352,408689
R484107;2252,084667
R484115;170,6072535
R484207;14750,85732
R484R11;17256,61141
R495;10793,85438
R495000;117024,5529
R495107;33395,75127
R495108;841,734845
R495115;1124,11384
R495207;250131,9913
R495254;4129,153077
R495440;7656,584916
R495461;241777,6897
R495467;4898,262957
R495775;3469,3333
R4957S1;22,45930147
R495999;11717,65506
R495R01;62515,14625
R495R07;43027,57069
R495R11;190144,4887
R495RMB;1058,806894
R495RMP;1730,554213
R496000;57,14782314
R496369;4859,751498
R512000;959,8599374
R512107;39,71832075
R512254;38,70121123
R512421;5810,757868
R513;2689,583512
R513000;51324,64227
R513107;49392,89045
R513108;409,5236055
R513115;426,7148749
R513207;420828,8851
R513254;1610,1123
R513421;237436,2836
R513785;20975,02328
R513900;2223,609976
R524000;35191,10042
R524107;5450,789038
R524108;3313,265671
R524207;1110,024768
R524218;212584,5186
R524254;597,9564953
R524408;783,4882731
R5247S1;22,37320926
R524999;206,487189
R532000;78,89363601
R532107;434,927013
R532SNE;9768,86856
R534;506,3770236
R534000;3929,062074
R534107;3877,099439
R534115;327,7766885
R534207;2765,74055
